1.618251418317634638e+00,1.327907768825705048e+00,1.105831397403407301e+00,1.139902772980219359e+00,6.833571344369450129e-01,6.827074066301265232e-01,9.701953494454719218e-01,8.815918197544097001e-01
1.610432176700030915e+00,1.320268087352550523e+00,1.101471127013726736e+00,1.135292554534723664e+00,6.839212725768546441e-01,6.844750835254389543e-01,9.738814604488057469e-01,8.867966626669452346e-01
1.567353924898118755e+00,1.278179079456179146e+00,1.077449254438742843e+00,1.109893652599045266e+00,6.870292574723947387e-01,6.942136789193009694e-01,9.941892122407344212e-01,9.154715066659881995e-01
1.582971635622062667e+00,1.293438146908729269e+00,1.086158211771753423e+00,1.119101842034430749e+00,6.859024798757519248e-01,6.906830211196703928e-01,9.868267827160079886e-01,9.050756479693409240e-01
1.732964512476828700e+00,1.439986604988439778e+00,1.169799251606162160e+00,1.207537519224919365e+00,6.750808802006573739e-01,6.567744970141239369e-01,9.161178289792013540e-01,8.052335660632421455e-01
1.660940606273920039e+00,1.369616647292821732e+00,1.129636314978310185e+00,1.165072283191571856e+00,6.802772194956168139e-01,6.730567659516126788e-01,9.500710083463570488e-01,8.531759543492594133e-01
1.627471928505756615e+00,1.336916540302806267e+00,1.110973061968485442e+00,1.145339178225769361e+00,6.826918983794180162e-01,6.806229483642709521e-01,9.658486588426042907e-01,8.754542287386051225e-01
1.508757320365198495e+00,1.220928080454934062e+00,1.044773829867450043e+00,1.075345142619136718e+00,6.912568515413388681e-01,7.074604704934874810e-01,1.021812554668282358e+00,9.544760721618543720e-01
1.754012862724860344e+00,1.460551603398047460e+00,1.181536514991335274e+00,1.219947609270259470e+00,6.735622959519805830e-01,6.520161477729233823e-01,9.061953122895236579e-01,7.912228266633499763e-01
1.599936455742480224e+00,1.310013388896081432e+00,1.095618362315097905e+00,1.129104286065267360e+00,6.846785118063820619e-01,6.868478255819753242e-01,9.788293050610566981e-01,8.937830919793319229e-01
1.479969183199858040e+00,1.192801030684078167e+00,1.028720602688294683e+00,1.058371680554436978e+00,6.933338414779788295e-01,7.139685344995529981e-01,1.035383726191073439e+00,9.736387658114268318e-01
